num_topics,version,model,feature,accuracy,macro_f1,train_time_sec
4,raw,Naive Bayes,Bag of Words,0.6767068273092369,0.6102097506494335,0.47928571701049805
4,raw,Naive Bayes,TF-IDF,0.7911646586345381,0.7928130507244219,0.947321891784668
4,raw,Logistic Regression,Bag of Words,0.7476572958500669,0.750865427782388,1.736799955368042
4,raw,Logistic Regression,TF-IDF,0.7710843373493976,0.7731617459971399,0.9581451416015625
4,raw,Linear SVM,Bag of Words,0.7315930388219545,0.7362833631095536,0.5769679546356201
4,raw,Linear SVM,TF-IDF,0.7797858099062919,0.7821676129174829,0.8416390419006348
4,clean,Naive Bayes,Bag of Words,0.6767068273092369,0.6129883269783932,0.13426566123962402
4,clean,Naive Bayes,TF-IDF,0.7871485943775101,0.7902125091596939,0.4293031692504883
4,clean,Logistic Regression,Bag of Words,0.7637215528781793,0.7681277257696529,0.6486568450927734
4,clean,Logistic Regression,TF-IDF,0.7978580990629184,0.8008443559669355,0.7842450141906738
4,clean,Linear SVM,Bag of Words,0.7322623828647925,0.7374783049821547,0.27989888191223145
4,clean,Linear SVM,TF-IDF,0.7978580990629184,0.8006518262483124,0.45078587532043457
6,raw,Naive Bayes,Bag of Words,0.6495162708883025,0.5997116035033111,0.22655177116394043
6,raw,Naive Bayes,TF-IDF,0.7255936675461742,0.7274175300441272,0.9756417274475098
6,raw,Logistic Regression,Bag of Words,0.673702726473175,0.6776540898003907,4.108428001403809
6,raw,Logistic Regression,TF-IDF,0.7040457343887423,0.7077521121485809,1.5436968803405762
6,raw,Linear SVM,Bag of Words,0.6495162708883025,0.6549001341239985,0.8396191596984863
6,raw,Linear SVM,TF-IDF,0.7198768689533861,0.7233351451176909,0.9555039405822754
6,clean,Naive Bayes,Bag of Words,0.6556728232189973,0.6065180301845102,0.1151418685913086
6,clean,Naive Bayes,TF-IDF,0.7330694810905892,0.736324465358868,0.6872942447662354
6,clean,Logistic Regression,Bag of Words,0.6943711521547933,0.6985491327503649,1.592979907989502
6,clean,Logistic Regression,TF-IDF,0.7427440633245382,0.7467164973515651,1.141808032989502
6,clean,Linear SVM,Bag of Words,0.6578715919085312,0.6647251288762082,0.5895061492919922
6,clean,Linear SVM,TF-IDF,0.7387862796833773,0.7414233608722803,0.7747690677642822
10,raw,Naive Bayes,Bag of Words,0.6773022049286641,0.6472786675376989,0.30573272705078125
10,raw,Naive Bayes,TF-IDF,0.7335927367055771,0.7340874910369093,1.4397130012512207
10,raw,Logistic Regression,Bag of Words,0.674189364461738,0.6742405706315171,9.0847749710083
10,raw,Logistic Regression,TF-IDF,0.7221789883268482,0.7211116625851702,2.214655876159668
10,raw,Linear SVM,Bag of Words,0.6503242542153048,0.6513990139183983,1.4183759689331055
